-1.00 , -1.00 , 3
-1.00 , -0.90 , 3
-1.00 , -0.80 , 3
-1.00 , -0.70 , 4
-1.00 , -0.60 , 4
-1.00 , -0.50 , 5
-1.00 , -0.40 , 7
-1.00 , -0.30 , 35
-1.00 , -0.20 , 100
-1.00 , -0.10 , 100
-1.00 , -0.00 , 100
-1.00 , 0.10 , 100
-1.00 , 0.20 , 100
-1.00 , 0.30 , 35
-1.00 , 0.40 , 7
-1.00 , 0.50 , 5
-1.00 , 0.60 , 4
-1.00 , 0.70 , 4
-1.00 , 0.80 , 3
-1.00 , 0.90 , 3
-1.00 , 1.00 , 3
-0.90 , -1.00 , 3
-0.90 , -0.90 , 3
-0.90 , -0.80 , 4
-0.90 , -0.70 , 4
-0.90 , -0.60 , 5
-0.90 , -0.50 , 5
-0.90 , -0.40 , 7
-0.90 , -0.30 , 11
-0.90 , -0.20 , 100
-0.90 , -0.10 , 100
-0.90 , -0.00 , 100
-0.90 , 0.10 , 100
-0.90 , 0.20 , 100
-0.90 , 0.30 , 11
-0.90 , 0.40 , 7
-0.90 , 0.50 , 5
-0.90 , 0.60 , 5
-0.90 , 0.70 , 4
-0.90 , 0.80 , 4
-0.90 , 0.90 , 3
-0.90 , 1.00 , 3
-0.80 , -1.00 , 3
-0.80 , -0.90 , 4
-0.80 , -0.80 , 4
-0.80 , -0.70 , 4
-0.80 , -0.60 , 5
-0.80 , -0.50 , 6
-0.80 , -0.40 , 7
-0.80 , -0.30 , 9
-0.80 , -0.20 , 15
-0.80 , -0.10 , 100
-0.80 , -0.00 , 100
-0.80 , 0.10 , 100
-0.80 , 0.20 , 15
-0.80 , 0.30 , 9
-0.80 , 0.40 , 7
-0.80 , 0.50 , 6
-0.80 , 0.60 , 5
-0.80 , 0.70 , 4
-0.80 , 0.80 , 4
-0.80 , 0.90 , 4
-0.80 , 1.00 , 3
-0.70 , -1.00 , 3
-0.70 , -0.90 , 4
-0.70 , -0.80 , 4
-0.70 , -0.70 , 5
-0.70 , -0.60 , 6
-0.70 , -0.50 , 8
-0.70 , -0.40 , 11
-0.70 , -0.30 , 24
-0.70 , -0.20 , 100
-0.70 , -0.10 , 100
-0.70 , -0.00 , 100
-0.70 , 0.10 , 100
-0.70 , 0.20 , 100
-0.70 , 0.30 , 24
-0.70 , 0.40 , 11
-0.70 , 0.50 , 8
-0.70 , 0.60 , 6
-0.70 , 0.70 , 5
-0.70 , 0.80 , 4
-0.70 , 0.90 , 4
-0.70 , 1.00 , 3
-0.60 , -1.00 , 4
-0.60 , -0.90 , 4
-0.60 , -0.80 , 4
-0.60 , -0.70 , 7
-0.60 , -0.60 , 12
-0.60 , -0.50 , 12
-0.60 , -0.40 , 100
-0.60 , -0.30 , 100
-0.60 , -0.20 , 100
-0.60 , -0.10 , 100
-0.60 , -0.00 , 100
-0.60 , 0.10 , 100
-0.60 , 0.20 , 100
-0.60 , 0.30 , 100
-0.60 , 0.40 , 100
-0.60 , 0.50 , 12
-0.60 , 0.60 , 12
-0.60 , 0.70 , 7
-0.60 , 0.80 , 4
-0.60 , 0.90 , 4
-0.60 , 1.00 , 4
-0.50 , -1.00 , 4
-0.50 , -0.90 , 4
-0.50 , -0.80 , 5
-0.50 , -0.70 , 8
-0.50 , -0.60 , 100
-0.50 , -0.50 , 100
-0.50 , -0.40 , 100
